ticket_id,title,description,category,category_label,priority,status
"TCK-SAMPLE-001","Không đăng nhập được cổng sinh viên","Em nhập đúng email và mật khẩu nhưng cổng sinh viên liên tục báo thông tin không hợp lệ. Em cần vào xem lịch học trong hôm nay.","account_system","Tài khoản / Hệ thống","high","open"
"TCK-SAMPLE-002","Tài khoản bị khóa trước giờ thi","Tài khoản của em bị khóa sau nhiều lần đăng nhập thất bại. Sáng mai em có lịch thi trực tuyến nên cần được hỗ trợ gấp.","account_system","Tài khoản / Hệ thống","high","open"
"TCK-SAMPLE-003","Không nhận được mã xác thực đăng nhập","Em đăng nhập vào hệ thống nhưng không nhận được mã xác thực qua email sinh viên. Em đã kiểm tra hộp thư rác nhưng vẫn không thấy.","account_system","Tài khoản / Hệ thống","medium","open"
"TCK-SAMPLE-004","Thông tin cá nhân trên cổng bị sai","Tên lớp và số điện thoại của em trên cổng sinh viên đang hiển thị sai. Em cần cập nhật để làm hồ sơ thực tập.","account_system","Tài khoản / Hệ thống","medium","in_progress"
"TCK-SAMPLE-005","Không đổi được mật khẩu tài khoản","Khi đổi mật khẩu hệ thống báo lỗi máy chủ. Em đã thử trên nhiều trình duyệt nhưng vẫn không thể hoàn tất.","account_system","Tài khoản / Hệ thống","medium","open"
"TCK-SAMPLE-006","Cổng sinh viên tự đăng xuất liên tục","Mỗi lần em mở mục học phí thì hệ thống tự đăng xuất. Việc này làm em không thể kiểm tra biên lai thanh toán.","account_system","Tài khoản / Hệ thống","medium","open"
"TCK-SAMPLE-007","Không truy cập được tài khoản sau khi đổi email","Sau khi cập nhật email cá nhân em không thể đăng nhập lại vào cổng sinh viên. Hệ thống báo tài khoản không tồn tại.","account_system","Tài khoản / Hệ thống","high","open"
"TCK-SAMPLE-008","Lỗi phân quyền tài khoản sinh viên","Tài khoản của em không thấy các chức năng đăng ký học phần dù các bạn cùng lớp vẫn dùng được bình thường.","account_system","Tài khoản / Hệ thống","high","open"
"TCK-SAMPLE-009","Không tải được trang điểm danh","Trang điểm danh trên cổng sinh viên chỉ quay vòng và không hiển thị dữ liệu. Em cần kiểm tra để phản hồi giảng viên.","account_system","Tài khoản / Hệ thống","medium","open"
"TCK-SAMPLE-010","Quên mật khẩu nhưng không reset được","Chức năng quên mật khẩu báo đã gửi email nhưng em không nhận được thư khôi phục. Em cần lấy lại tài khoản trong hôm nay.","account_system","Tài khoản / Hệ thống","high","open"
"TCK-SAMPLE-011","Wifi phòng B305 rất yếu","Wifi tại phòng B305 thường xuyên mất kết nối trong giờ học. Nhiều sinh viên không thể truy cập tài liệu trực tuyến.","network","Mạng / Kết nối","high","open"
"TCK-SAMPLE-012","Mạng ký túc xá chậm vào buổi tối","Internet tại khu ký túc xá bị chậm rõ rệt sau 19 giờ. Việc học online và nộp bài bị ảnh hưởng nhiều.","network","Mạng / Kết nối","medium","open"
"TCK-SAMPLE-013","Không kết nối được wifi trường","Điện thoại và laptop của em đều không thể kết nối vào wifi trường. Hệ thống báo xác thực thất bại dù tài khoản đúng.","network","Mạng / Kết nối","medium","open"
"TCK-SAMPLE-014","Mạng phòng máy bị ngắt liên tục","Trong buổi thực hành tại phòng máy mạng bị rớt nhiều lần. Cả lớp không thể chạy bài lab theo yêu cầu.","network","Mạng / Kết nối","high","in_progress"
"TCK-SAMPLE-015","Wifi thư viện không ổn định","Wifi tại tầng hai thư viện lúc có lúc mất. Sinh viên không thể tra cứu tài liệu và làm bài nhóm ổn định.","network","Mạng / Kết nối","medium","open"
"TCK-SAMPLE-016","Không vào được trang học trực tuyến khi dùng mạng trường","Khi dùng wifi trường em không truy cập được hệ thống học trực tuyến nhưng dùng 4G thì vào được bình thường.","network","Mạng / Kết nối","high","open"
"TCK-SAMPLE-017","Tốc độ mạng phòng C204 quá thấp","Tốc độ tải tài liệu trong phòng C204 rất chậm. Việc xem video bài giảng gần như không thực hiện được.","network","Mạng / Kết nối","medium","open"
"TCK-SAMPLE-018","Mạng bị chặn khi truy cập kho học liệu","Sinh viên không mở được kho học liệu số khi dùng mạng nội bộ. Trình duyệt báo kết nối bị từ chối.","network","Mạng / Kết nối","medium","open"
"TCK-SAMPLE-019","Wifi khu tự học mất kết nối hàng loạt","Nhiều bạn tại khu tự học không thể dùng wifi trong suốt buổi chiều. Mong nhà trường kiểm tra điểm phát sóng.","network","Mạng / Kết nối","high","open"
"TCK-SAMPLE-020","Không đăng nhập được wifi bằng tài khoản sinh viên","Hệ thống wifi báo sai thông tin đăng nhập dù em vẫn đăng nhập được cổng sinh viên. Em cần dùng mạng để làm bài kiểm tra.","network","Mạng / Kết nối","high","open"
"TCK-SAMPLE-021","Máy chiếu phòng A101 không lên hình","Máy chiếu phòng A101 bật nguồn nhưng không hiển thị hình ảnh từ laptop. Giảng viên phải dạy không có slide.","classroom_device","Thiết bị phòng học","high","open"
"TCK-SAMPLE-022","Micro phòng hội thảo bị rè","Micro trong phòng hội thảo phát tiếng rè lớn và khó nghe. Buổi thuyết trình nhóm bị ảnh hưởng.","classroom_device","Thiết bị phòng học","medium","open"
"TCK-SAMPLE-023","Loa phòng B201 không hoạt động","Loa phòng B201 không phát âm thanh khi chiếu video bài giảng. Giảng viên đã thử đổi dây nhưng không được.","classroom_device","Thiết bị phòng học","medium","open"
"TCK-SAMPLE-024","Điều khiển máy chiếu bị mất","Phòng C102 không có điều khiển máy chiếu nên giảng viên không bật được thiết bị. Lớp học bắt đầu muộn hơn dự kiến.","classroom_device","Thiết bị phòng học","medium","in_progress"
"TCK-SAMPLE-025","Màn hình tương tác bị đơ","Màn hình tương tác tại phòng D301 bị đơ và không nhận thao tác chạm. Cần kiểm tra trước buổi học chiều nay.","classroom_device","Thiết bị phòng học","high","open"
"TCK-SAMPLE-026","Dây HDMI phòng học bị hỏng","Dây HDMI tại phòng A204 bị lỏng và không truyền tín hiệu ổn định. Hình ảnh bị chớp tắt nhiều lần.","classroom_device","Thiết bị phòng học","medium","open"
"TCK-SAMPLE-027","Máy tính giảng viên không khởi động","Máy tính đặt tại bục giảng phòng B104 không khởi động được. Giảng viên không thể mở phần mềm dạy học.","classroom_device","Thiết bị phòng học","high","open"
"TCK-SAMPLE-028","Camera lớp học trực tuyến không hoạt động","Camera dùng cho lớp học hybrid không lên hình. Sinh viên học từ xa không theo dõi được bảng.","classroom_device","Thiết bị phòng học","high","open"
"TCK-SAMPLE-029","Ổ cắm điện phòng thực hành bị lỏng","Một số ổ cắm điện trong phòng thực hành bị lỏng và dễ mất điện. Sinh viên lo ngại không an toàn khi sử dụng laptop.","classroom_device","Thiết bị phòng học","high","open"
"TCK-SAMPLE-030","Bảng điện tử không lưu được nội dung","Bảng điện tử phòng E202 không lưu lại nội dung ghi chú sau buổi học. Giảng viên cần xuất file cho sinh viên ôn tập.","classroom_device","Thiết bị phòng học","medium","open"
"TCK-SAMPLE-031","Đèn hành lang tầng ba bị hỏng","Khu hành lang tầng ba nhà B có nhiều bóng đèn không sáng. Buổi tối di chuyển khá tối và không an toàn.","facility","Cơ sở vật chất","medium","open"
"TCK-SAMPLE-032","Nhà vệ sinh khu C thiếu nước","Nhà vệ sinh tầng một khu C thường xuyên thiếu nước vào buổi chiều. Sinh viên phản ánh tình trạng này nhiều ngày.","facility","Cơ sở vật chất","high","open"
"TCK-SAMPLE-033","Máy lạnh phòng A302 không mát","Máy lạnh phòng A302 chạy nhưng không làm mát. Lớp học đông nên không khí rất nóng và khó tập trung.","facility","Cơ sở vật chất","medium","open"
"TCK-SAMPLE-034","Ghế phòng học bị gãy","Một số ghế trong phòng B402 bị gãy chân và không thể ngồi an toàn. Cần thay thế trước khi có lớp đông sinh viên.","facility","Cơ sở vật chất","medium","in_progress"
"TCK-SAMPLE-035","Thang máy nhà A dừng bất thường","Thang máy nhà A có lúc dừng giữa tầng và mở cửa chậm. Sinh viên rất lo lắng khi sử dụng.","facility","Cơ sở vật chất","high","open"
"TCK-SAMPLE-036","Trần phòng học bị thấm nước","Trần phòng D105 có vết thấm nước sau mưa lớn. Nước nhỏ xuống gần khu vực bàn sinh viên.","facility","Cơ sở vật chất","high","open"
"TCK-SAMPLE-037","Bãi gửi xe quá tải vào buổi sáng","Bãi gửi xe sinh viên thường xuyên hết chỗ trước 8 giờ. Nhiều bạn phải gửi xe ngoài trường và vào lớp muộn.","facility","Cơ sở vật chất","medium","open"
"TCK-SAMPLE-038","Cửa phòng học bị kẹt khóa","Cửa phòng C303 bị kẹt khóa khiến lớp phải chờ bảo vệ mở cửa. Tình trạng đã xảy ra hai lần trong tuần này.","facility","Cơ sở vật chất","medium","open"
"TCK-SAMPLE-039","Khu tự học thiếu ổ điện","Khu tự học tầng hai thư viện thiếu ổ điện cho sinh viên dùng laptop. Nhiều nhóm phải rời đi khi hết pin.","facility","Cơ sở vật chất","low","open"
"TCK-SAMPLE-040","Máy lọc nước không hoạt động","Máy lọc nước gần phòng A105 không ra nước. Sinh viên phải đi sang khu khác trong giờ nghỉ ngắn.","facility","Cơ sở vật chất","low","open"
"TCK-SAMPLE-041","Lịch thi bị trùng hai môn","Em thấy lịch thi hai môn của mình bị xếp cùng một khung giờ. Mong phòng đào tạo kiểm tra và hướng dẫn điều chỉnh.","schedule_exam","Lịch học / Lịch thi","high","open"
"TCK-SAMPLE-042","Chưa thấy lịch thi trên cổng sinh viên","Các bạn cùng lớp đã thấy lịch thi nhưng tài khoản của em chưa hiển thị. Em cần xác nhận để đặt vé về quê.","schedule_exam","Lịch học / Lịch thi","medium","open"
"TCK-SAMPLE-043","Lịch học thay đổi nhưng không có thông báo","Lớp em bị đổi phòng học nhưng sinh viên không nhận được thông báo trước. Nhiều bạn đến nhầm phòng.","schedule_exam","Lịch học / Lịch thi","medium","open"
"TCK-SAMPLE-044","Không đăng ký được học phần bắt buộc","Hệ thống báo lớp học phần đã đầy dù đây là môn bắt buộc trong chương trình. Em lo sẽ chậm tiến độ học tập.","schedule_exam","Lịch học / Lịch thi","high","open"
"TCK-SAMPLE-045","Sai phòng thi trong giấy báo dự thi","Giấy báo dự thi của em hiển thị phòng thi khác với thông báo của lớp. Em cần xác nhận thông tin chính xác trước ngày thi.","schedule_exam","Lịch học / Lịch thi","high","in_progress"
"TCK-SAMPLE-046","Lớp học phần bị hủy nhưng chưa hoàn học phí","Một lớp học phần bị hủy do thiếu sinh viên nhưng hệ thống vẫn ghi nhận học phí. Em cần được hướng dẫn xử lý.","schedule_exam","Lịch học / Lịch thi","medium","open"
"TCK-SAMPLE-047","Không xem được thời khóa biểu tuần mới","Thời khóa biểu tuần mới không tải được trên cổng sinh viên. Trang chỉ hiển thị màn hình trắng.","schedule_exam","Lịch học / Lịch thi","medium","open"
"TCK-SAMPLE-048","Lịch học bù chưa được cập nhật","Giảng viên đã thông báo học bù nhưng lịch trên hệ thống chưa cập nhật. Sinh viên khó theo dõi phòng học và thời gian.","schedule_exam","Lịch học / Lịch thi","low","open"
"TCK-SAMPLE-049","Môn học bị thiếu trong thời khóa biểu","Một môn em đã đăng ký thành công nhưng không xuất hiện trong thời khóa biểu. Em cần xác nhận trước tuần học đầu tiên.","schedule_exam","Lịch học / Lịch thi","high","open"
"TCK-SAMPLE-050","Không nhận được thông báo đổi lịch thi","Lịch thi môn cơ sở dữ liệu đã thay đổi nhưng em không nhận được email thông báo. Mong hệ thống gửi lại thông tin chính thức.","schedule_exam","Lịch học / Lịch thi","medium","open"
"TCK-SAMPLE-051","Đã đóng học phí nhưng hệ thống chưa cập nhật","Em đã chuyển khoản học phí từ tuần trước nhưng cổng sinh viên vẫn báo còn nợ. Em có biên lai giao dịch đầy đủ.","tuition_payment","Học phí / Thanh toán","high","open"
"TCK-SAMPLE-052","Không tải được biên lai học phí","Khi bấm tải biên lai học phí hệ thống báo lỗi. Em cần biên lai để hoàn thiện hồ sơ vay vốn sinh viên.","tuition_payment","Học phí / Thanh toán","medium","open"
"TCK-SAMPLE-053","Thanh toán học phí bị trừ tiền hai lần","Giao dịch thanh toán học phí của em bị trừ tiền hai lần trong cùng một ngày. Mong phòng tài chính kiểm tra giúp.","tuition_payment","Học phí / Thanh toán","high","open"
"TCK-SAMPLE-054","Mã thanh toán học phí không hợp lệ","Ứng dụng ngân hàng báo mã thanh toán của em không hợp lệ. Em không thể hoàn tất đóng học phí trước hạn.","tuition_payment","Học phí / Thanh toán","high","open"
"TCK-SAMPLE-055","Thông tin khoản thu hiển thị sai","Cổng sinh viên hiển thị một khoản thu không thuộc học kỳ hiện tại. Em cần được giải thích trước khi thanh toán.","tuition_payment","Học phí / Thanh toán","medium","in_progress"
"TCK-SAMPLE-056","Không xác nhận được học bổng đã khấu trừ","Em nhận học bổng nhưng hệ thống chưa trừ vào học phí phải đóng. Mong phòng tài chính cập nhật lại.","tuition_payment","Học phí / Thanh toán","medium","open"
"TCK-SAMPLE-057","Hạn đóng học phí hiển thị khác email thông báo","Email thông báo ghi hạn đóng học phí khác với ngày trên cổng sinh viên. Em cần biết mốc chính xác để tránh bị khóa tài khoản.","tuition_payment","Học phí / Thanh toán","high","open"
"TCK-SAMPLE-058","Không thanh toán được qua ví điện tử","Cổng thanh toán bằng ví điện tử báo lỗi kết nối. Em đã thử lại nhiều lần nhưng vẫn không hoàn tất giao dịch.","tuition_payment","Học phí / Thanh toán","medium","open"
"TCK-SAMPLE-059","Cần xác nhận hoàn phí môn học","Em đã rút học phần đúng hạn nhưng chưa thấy thông tin hoàn phí. Mong phòng tài chính phản hồi tiến độ xử lý.","tuition_payment","Học phí / Thanh toán","medium","open"
"TCK-SAMPLE-060","Sai số tiền trong biên lai điện tử","Biên lai điện tử hiển thị số tiền thấp hơn số tiền em đã thanh toán. Em cần biên lai đúng để nộp cho gia đình.","tuition_payment","Học phí / Thanh toán","medium","open"
"TCK-SAMPLE-061","Không tải được giấy xác nhận sinh viên","Em cần giấy xác nhận sinh viên để nộp cho địa phương nhưng hệ thống tải file bị lỗi. Mong được hỗ trợ sớm.","document_profile","Hồ sơ / Giấy tờ","high","open"
"TCK-SAMPLE-062","Sai ngày sinh trong hồ sơ sinh viên","Ngày sinh trong hồ sơ điện tử của em bị sai so với căn cước công dân. Em cần điều chỉnh để làm giấy tờ thực tập.","document_profile","Hồ sơ / Giấy tờ","medium","open"
"TCK-SAMPLE-063","Chưa cập nhật ảnh thẻ sinh viên","Em đã nộp ảnh thẻ mới nhưng cổng sinh viên vẫn hiển thị ảnh cũ. Điều này ảnh hưởng đến việc in thẻ.","document_profile","Hồ sơ / Giấy tờ","low","open"
"TCK-SAMPLE-064","Không nộp được hồ sơ miễn giảm học phí","Trang nộp hồ sơ miễn giảm học phí báo lỗi khi tải tệp minh chứng. Hạn nộp hồ sơ sắp kết thúc.","document_profile","Hồ sơ / Giấy tờ","high","open"
"TCK-SAMPLE-065","Giấy xác nhận vay vốn thiếu chữ ký số","File giấy xác nhận vay vốn tải về không có chữ ký số. Ngân hàng yêu cầu em nộp bản hợp lệ.","document_profile","Hồ sơ / Giấy tờ","high","in_progress"
"TCK-SAMPLE-066","Không cập nhật được địa chỉ liên hệ","Em chỉnh sửa địa chỉ liên hệ nhưng hệ thống không lưu thay đổi. Thông tin này cần đúng để nhận giấy tờ.","document_profile","Hồ sơ / Giấy tờ","medium","open"
"TCK-SAMPLE-067","Thiếu thông tin bảo hiểm y tế","Hồ sơ sinh viên của em chưa hiển thị thông tin bảo hiểm y tế dù đã nộp minh chứng. Mong được kiểm tra lại.","document_profile","Hồ sơ / Giấy tờ","medium","open"
"TCK-SAMPLE-068","Không xem được trạng thái hồ sơ tốt nghiệp","Trang trạng thái hồ sơ tốt nghiệp không hiển thị dữ liệu. Em cần biết hồ sơ còn thiếu giấy tờ nào.","document_profile","Hồ sơ / Giấy tờ","high","open"
"TCK-SAMPLE-069","Yêu cầu chỉnh sửa họ tên có dấu","Họ tên của em trên hệ thống bị thiếu dấu tiếng Việt. Em cần sửa đúng để đồng bộ với giấy tờ cá nhân.","document_profile","Hồ sơ / Giấy tờ","medium","open"
"TCK-SAMPLE-070","Không tải được mẫu đơn xin xác nhận","Mẫu đơn xin xác nhận sinh viên trên hệ thống bị lỗi liên kết. Em không thể tải biểu mẫu để điền thông tin.","document_profile","Hồ sơ / Giấy tờ","low","open"
"TCK-SAMPLE-071","Không vào được lớp học trên LMS","Em bấm vào lớp học trên hệ thống LMS nhưng trang báo không có quyền truy cập. Em đã đăng ký môn này thành công.","learning_platform","Nền tảng học tập","high","open"
"TCK-SAMPLE-072","Bài tập đã nộp nhưng không hiển thị","Em đã nộp bài tập trên LMS nhưng hệ thống không hiển thị trạng thái đã nộp. Hạn nộp là tối nay.","learning_platform","Nền tảng học tập","high","open"
"TCK-SAMPLE-073","Video bài giảng không phát được","Video bài giảng tuần này chỉ hiển thị màn hình đen. Em đã thử trên nhiều thiết bị nhưng vẫn không xem được.","learning_platform","Nền tảng học tập","medium","open"
"TCK-SAMPLE-074","Không làm được bài kiểm tra online","Khi vào bài kiểm tra online hệ thống báo lỗi tải câu hỏi. Bài kiểm tra chỉ mở trong một khung giờ ngắn.","learning_platform","Nền tảng học tập","high","in_progress"
"TCK-SAMPLE-075","LMS gửi thông báo trễ","Thông báo bài tập mới trên LMS đến muộn sau hạn nộp. Nhiều sinh viên trong nhóm gặp tình trạng tương tự.","learning_platform","Nền tảng học tập","medium","open"
"TCK-SAMPLE-076","Điểm bài tập trên LMS bị thiếu","Em đã có điểm phản hồi từ giảng viên nhưng bảng điểm LMS không hiển thị. Mong được kiểm tra đồng bộ dữ liệu.","learning_platform","Nền tảng học tập","medium","open"
"TCK-SAMPLE-077","Không tải được tài liệu môn học","File tài liệu môn học trên LMS báo lỗi quyền truy cập. Cả lớp cần tài liệu này để chuẩn bị thuyết trình.","learning_platform","Nền tảng học tập","medium","open"
"TCK-SAMPLE-078","Diễn đàn môn học không gửi được bài","Em viết bài thảo luận trên diễn đàn nhưng bấm gửi thì hệ thống báo lỗi. Bài thảo luận tính điểm chuyên cần.","learning_platform","Nền tảng học tập","high","open"
"TCK-SAMPLE-079","LMS hiển thị sai tên giảng viên","Lớp học trên LMS đang hiển thị sai tên giảng viên phụ trách. Sinh viên khó liên hệ đúng người khi cần hỗ trợ.","learning_platform","Nền tảng học tập","low","open"
"TCK-SAMPLE-080","Không nhận được link lớp học trực tuyến","LMS không hiển thị link lớp học trực tuyến cho buổi học chiều nay. Các bạn khác trong lớp đã thấy link.","learning_platform","Nền tảng học tập","high","open"
"TCK-SAMPLE-081","Góp ý về quy trình đăng ký học phần","Em đề xuất hệ thống đăng ký học phần nên hiển thị số chỗ còn lại rõ hơn để sinh viên chủ động lựa chọn lớp.","feedback","Góp ý / Phản hồi","low","open"
"TCK-SAMPLE-082","Góp ý cải thiện giao diện cổng sinh viên","Một số mục trên cổng sinh viên khó tìm và tên chức năng chưa thống nhất. Mong nhà trường cải thiện để dễ sử dụng hơn.","feedback","Góp ý / Phản hồi","low","open"
"TCK-SAMPLE-083","Phản hồi về thời gian xử lý yêu cầu","Một số yêu cầu hỗ trợ mất nhiều ngày mới có phản hồi. Sinh viên mong có trạng thái xử lý rõ ràng hơn.","feedback","Góp ý / Phản hồi","medium","open"
"TCK-SAMPLE-084","Đề xuất thêm thông báo qua ứng dụng","Em đề xuất nhà trường gửi thông báo lịch thi và học phí qua ứng dụng di động để tránh bỏ lỡ email quan trọng.","feedback","Góp ý / Phản hồi","low","open"
"TCK-SAMPLE-085","Góp ý về khu vực tự học","Khu tự học nên có thêm bảng hướng dẫn đặt chỗ và khung giờ sử dụng. Hiện sinh viên mới khá lúng túng.","feedback","Góp ý / Phản hồi","low","open"
"TCK-SAMPLE-086","Phản hồi về chất lượng hỗ trợ trực tuyến","Kênh hỗ trợ trực tuyến trả lời lịch sự nhưng thời gian chờ còn lâu. Mong có thêm nhân sự vào các tuần cao điểm.","feedback","Góp ý / Phản hồi","medium","open"
"TCK-SAMPLE-087","Đề xuất bổ sung mục câu hỏi thường gặp","Nhiều vấn đề về học phí và giấy tờ lặp lại thường xuyên. Em đề xuất có mục câu hỏi thường gặp dễ tra cứu.","feedback","Góp ý / Phản hồi","low","open"
"TCK-SAMPLE-088","Góp ý về thông báo đổi phòng học","Thông báo đổi phòng học nên gửi sớm hơn và có nhắc lại trước giờ học. Nhiều sinh viên chỉ biết khi đã đến sai phòng.","feedback","Góp ý / Phản hồi","medium","open"
"TCK-SAMPLE-089","Phản hồi về hướng dẫn dùng LMS","Sinh viên năm nhất cần tài liệu hướng dẫn LMS dễ hiểu hơn. Video hiện tại hơi dài và khó tìm đúng thao tác.","feedback","Góp ý / Phản hồi","low","open"
"TCK-SAMPLE-090","Đề xuất theo dõi tiến độ xử lý phản ánh","Em mong mỗi phản ánh có mốc thời gian tiếp nhận và xử lý để sinh viên biết yêu cầu đang ở bước nào.","feedback","Góp ý / Phản hồi","medium","open"
"TCK-SAMPLE-091","Không biết liên hệ bộ phận nào","Em có vấn đề liên quan đến cả học phí và lịch học nên không biết cần gửi yêu cầu đến phòng ban nào trước.","other","Khác","low","open"
"TCK-SAMPLE-092","Cần hỗ trợ xác minh thông tin tổng hợp","Thông tin trên email thông báo khác với cổng sinh viên và fanpage. Em cần được xác minh nguồn thông tin chính thức.","other","Khác","medium","open"
"TCK-SAMPLE-093","Yêu cầu hỗ trợ sự kiện câu lạc bộ","Câu lạc bộ của em cần đăng ký phòng cho sự kiện sinh viên nhưng chưa tìm thấy biểu mẫu phù hợp trên hệ thống.","other","Khác","low","open"
"TCK-SAMPLE-094","Không tìm thấy mục phản ánh phù hợp","Vấn đề của em liên quan đến lịch sinh hoạt đầu khóa nhưng không có nhóm phản ánh tương ứng. Mong được hướng dẫn.","other","Khác","low","open"
"TCK-SAMPLE-095","Cần xác nhận quy định ra vào cổng trường","Em cần biết quy định ra vào cổng trường ngoài giờ hành chính để tham gia hoạt động nghiên cứu buổi tối.","other","Khác","low","open"
"TCK-SAMPLE-096","Thông báo trên bảng tin bị sai ngày","Bảng tin điện tử hiển thị sai ngày tổ chức hội thảo. Sinh viên trong khoa đang nhận thông tin không thống nhất.","other","Khác","medium","open"
"TCK-SAMPLE-097","Cần hỗ trợ tìm đồ thất lạc","Em để quên ví tại phòng học B203 sau tiết học sáng nay. Mong bộ phận hỗ trợ thông báo nếu có người nhặt được.","other","Khác","medium","open"
"TCK-SAMPLE-098","Câu hỏi về quy trình bảo lưu kết quả","Em muốn tìm hiểu quy trình bảo lưu kết quả học tập nhưng chưa thấy hướng dẫn rõ trên cổng thông tin.","other","Khác","low","open"
"TCK-SAMPLE-099","Không nhận được phản hồi từ biểu mẫu cũ","Em đã gửi phản ánh qua biểu mẫu cũ tuần trước nhưng chưa nhận được mã theo dõi. Mong được kiểm tra lại.","other","Khác","medium","open"
"TCK-SAMPLE-100","Cần hỗ trợ chuyển phản ánh đến đúng phòng ban","Em gửi nhầm phản ánh sang nhóm khác và muốn được chuyển đến đúng phòng ban xử lý. Mong hệ thống hỗ trợ điều phối.","other","Khác","low","open"
